rank	lemma	PoS
1	the	a
2	be	v
3	and	c
4	a	a
5	of	i
6	to	t
7	in	i
8	i	p
9	you	p
10	it	p
11	have	v
12	to	i
13	that	c
14	for	i
15	do	v
16	he	p
17	with	i
18	on	i
19	this	d
20	n't	x
21	we	p
22	that	d
23	not	x
24	but	c
25	they	p
26	say	v
27	at	i
28	what	d
29	his	a
30	from	i
31	go	v
32	or	c
33	by	i
34	get	v
35	she	p
36	my	a
37	can	v
38	as	c
39	know	v
40	if	c
41	me	p
42	your	a
43	all	d
44	who	p
45	about	i
46	their	a
47	will	v
48	so	r
49	would	v
50	make	v
51	just	r
52	up	r
53	think	v
54	time	n
55	there	e
56	see	v
57	her	a
58	as	i
59	out	r
60	one	m
61	come	v
62	people	n
63	take	v
64	year	n
65	him	p
66	them	p
67	some	d
68	want	v
69	how	r
70	when	c
71	which	d
72	now	r
73	like	i
74	other	j
75	could	v
76	our	a
77	into	i
78	here	r
79	then	r
80	than	c
81	look	v
82	way	n
83	more	r
84	these	d
85	no	a
86	thing	n
87	well	r
88	because	c
89	also	r
90	two	m
91	use	v
92	tell	v
93	good	j
94	first	m
95	man	n
96	day	n
97	find	v
98	give	v
99	more	d
100	new	j
101	one	p
102	us	p
103	any	d
104	those	d
105	very	r
106	her	p
107	need	v
108	back	r
109	there	r
110	should	v
111	even	r
112	only	r
113	many	d
114	really	r
115	work	v
116	life	n
117	why	r
118	right	r
119	down	r
120	on	r
121	try	v
122	let	v
123	something	p
124	too	r
125	call	v
126	woman	n
127	may	v
128	still	r
129	through	i
130	mean	v
131	after	i
132	never	r
133	no	u
134	world	n
135	in	r
136	feel	v
137	yeah	u
138	great	j
139	last	m
140	child	n
141	oh	u
142	over	i
143	ask	v
144	when	r
145	as	r
146	school	n
147	state	n
148	much	d
149	talk	v
150	out	i
151	keep	v
152	leave	v
153	put	v
154	like	v
155	help	v
156	big	j
157	where	r
158	same	d
159	all	r
160	own	d
161	while	c
162	start	v
163	three	m
164	high	j
165	every	a
166	another	d
167	become	v
168	most	r
169	between	i
170	happen	v
171	family	n
172	over	r
173	president	n
174	old	j
175	yes	u
176	house	n
177	show	v
178	again	r
179	student	n
180	so	c
181	seem	v
182	might	v
183	part	n
184	hear	v
185	its	a
186	place	n
187	problem	n
188	where	c
189	believe	v
190	country	n
191	always	r
192	week	n
193	point	n
194	hand	n
195	off	r
196	play	v
197	turn	v
198	few	d
199	group	n
200	such	d
201	against	i
202	run	v
203	guy	n
204	about	r
205	case	n
206	question	n
207	work	n
208	night	n
209	live	v
210	game	n
211	number	n
212	write	v
213	bring	v
214	without	i
215	money	n
216	lot	n
217	most	d
218	book	n
219	system	n
220	government	n
221	next	m
222	city	n
223	company	n
224	story	n
225	today	r
226	job	n
227	move	v
228	must	v
229	bad	j
230	friend	n
231	during	i
232	begin	v
233	love	v
234	each	d
235	hold	v
236	different	j
237	american	j
238	little	j
239	before	i
240	ever	r
241	word	n
242	fact	n
243	right	n
244	read	v
245	anything	p
246	nothing	p
247	sure	j
248	small	j
249	month	n
250	program	n
251	maybe	r
252	right	j
253	under	i
254	business	n
255	home	n
256	kind	n
257	stop	v
258	pay	v
259	study	n
260	since	c
261	issue	n
262	name	n
263	idea	n
264	room	n
265	percent	n
266	far	r
267	away	r
268	law	n
269	actually	r
270	large	j
271	though	c
272	provide	v
273	lose	v
274	power	n
275	kid	n
276	war	n
277	understand	v
278	head	n
279	mother	n
280	real	j
281	best	j
282	team	n
283	eye	n
284	long	r
285	long	j
286	side	n
287	water	n
288	young	j
289	wait	v
290	okay	r
291	both	d
292	yet	r
293	after	c
294	meet	v
295	service	n
296	area	n
297	important	j
298	person	n
299	hey	u
300	thank	v
301	much	r
302	someone	p
303	end	n
304	change	v
305	however	r
306	only	j
307	around	r
308	hour	n
309	everything	p
310	national	j
311	four	m
312	line	n
313	girl	n
314	around	i
315	watch	v
316	until	c
317	father	n
318	sit	v
319	create	v
320	information	n
321	car	n
322	learn	v
323	least	r
324	already	r
325	kill	v
326	minute	n
327	party	n
328	include	v
329	stand	v
330	together	r
331	back	n
332	follow	v
333	health	n
334	remember	v
335	often	r
336	reason	n
337	speak	v
338	ago	r
339	set	v
340	black	j
341	member	n
342	community	n
343	once	r
344	social	j
345	news	n
346	allow	v
347	win	v
348	body	n
